N	PROPN|NOUN
Vfin	VERB
Pnc	PUNCT
Prn	PRON
Pre	ADP
Det	DET
Adv	ADV
Crd	CCONJ
Adj	ADJ
QIs	ADJ|ADV|DET|NUM|PRON
Sub	SCONJ
Vinf	VERB
Vpp	VERB
Qux	ADJ|ADV|DET|PRON
Neg	ADV
PrA	ADP|ADV
Pre+Det	ADP.DET
Dem	DET|PRON
Vprs	VERB
Exc	INTJ
NVP	ADV
Neg+Prn	ADV.PRON
Etr	X
Adv+Prn	ADV.PRON
Prn+Prn	PRON.PRON
Pre+Qux	ADP.PRON
Qux+Prn	PRON.PRON
Pre+Dem	ADP.DET
Let	PROPN
Vfin+Prn	VERB.PRON
Sub+Prn	SCONJ.PRON
NVP+Prn	ADV.PRON
Pre+Vinf	ADP.VERB
Crd+Det	CCONJ.DET
Crd+Prn	CCONJ.PRON
PrA+Det	ADP.DET
Pre+PrA	ADP.ADV
Pre+Prn	ADP.PRON
